"window_end","date","close","log_ret","time","diff"
"2025-12-11T07:40:00.000000000+0000","2025-12-11 13:05:00+05:30","[""2025-12-11 13:05:00+05:30"",1545.1]","-0.0005176318459158609","1765449415176","1"
"2025-09-08T09:25:00.000000000+0000","2025-09-08 14:50:00+05:30","[""2025-09-08 14:50:00+05:30"",1379.8]","0.002031341383353365","1765449415176","1"
"2025-11-25T09:40:00.000000000+0000","2025-11-25 15:05:00+05:30","[""2025-11-25 15:05:00+05:30"",1538.5]","-0.0005198518539322112","1765449415176","1"
"2025-09-03T07:15:00.000000000+0000","2025-09-03 12:40:00+05:30","[""2025-09-03 12:40:00+05:30"",1370.15]","-0.0013493064060536787","1765449415176","1"
"2025-09-04T09:30:00.000000000+0000","2025-09-04 14:55:00+05:30","[""2025-09-04 14:55:00+05:30"",1362.1]","3.6708698130195345e-5","1765449415176","1"
"2025-11-27T10:00:00.000000000+0000","2025-11-27 15:25:00+05:30","[""2025-11-27 15:25:00+05:30"",1565.0]","-0.0007984032360244729","1765449415176","1"
"2025-10-14T04:20:00.000000000+0000","2025-10-14 09:45:00+05:30","[""2025-10-14 09:45:00+05:30"",1380.0]","-0.00010868974522957281","1765449415176","1"
"2025-09-30T08:55:00.000000000+0000","2025-09-30 14:20:00+05:30","[""2025-09-30 14:20:00+05:30"",1366.75]","-0.0006217199900374528","1765449415176","1"
"2025-10-28T04:30:00.000000000+0000","2025-10-28 09:55:00+05:30","[""2025-10-28 09:55:00+05:30"",1484.7]","-0.0008415667101641102","1765449415176","1"
"2025-12-08T07:45:00.000000000+0000","2025-12-08 13:10:00+05:30","[""2025-12-08 13:10:00+05:30"",1543.75]","0.0024321049686123948","1765449415176","1"
"2025-09-26T06:20:00.000000000+0000","2025-09-26 11:45:00+05:30","[""2025-09-26 11:45:00+05:30"",1377.7]","-0.0004716895644501955","1765449415176","1"
"2025-10-06T04:00:00.000000000+0000","2025-10-06 09:25:00+05:30","[""2025-10-06 09:25:00+05:30"",1364.0]","0.0003666361177641113","1765449415176","1"
"2025-11-14T06:05:00.000000000+0000","2025-11-14 11:30:00+05:30","[""2025-11-14 11:30:00+05:30"",1514.25]","-0.000792157680794427","1765449415176","1"
"2025-10-06T06:15:00.000000000+0000","2025-10-06 11:40:00+05:30","[""2025-10-06 11:40:00+05:30"",1368.65]","0.0011697190352980796","1765449415176","1"
"2025-09-22T04:05:00.000000000+0000","2025-09-22 09:30:00+05:30","[""2025-09-22 09:30:00+05:30"",1406.3]","-0.00099502495771767","1765449415176","1"
"2025-09-23T08:35:00.000000000+0000","2025-09-23 14:00:00+05:30","[""2025-09-23 14:00:00+05:30"",1390.35]","0.0019798778943566774","1765449415176","1"
"2025-09-22T08:30:00.000000000+0000","2025-09-22 13:55:00+05:30","[""2025-09-22 13:55:00+05:30"",1403.9]","0.0","1765449415176","1"
