"ticker","date","close_price","open_price","volume","high_price","low_price","abs_change","pct_change","action","stop_loss","take_profit","signal_strength","limit_order","current_price","rsi","macd","macd_signal","macd_hist","vwap","bol_bands","sma","crsi","klinger","keltner","cmo","reason","time","diff"
"BHARTIARTL","2025-12-11T13:14:07+05:30","2053.75","2052.1","688.0","2053.75","2050.15","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","2053.75","91.0000000000028","0.7037510938998821","0.27629449918438653","0.4274565947154956","2051.038330481894","[0.0,0.0]","[0.0,0.0]","77.2658912913389","[-9.412823857246964,-2.9631620355358024,-6.44966182171116]","[2050.5951229046486,2056.878456237982,2044.311789571315]","82.00000000000564","""macd says BUY, crsi says SELL, klinger says SELL, cmo says SELL, ""","1765439399908","1"
"TCS","2025-12-11T13:13:58+05:30","3186.7","3185.6","177.0","3187.15","3183.35","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","3186.7","67.44186046511739","0.7324634824135501","0.30570222363816435","0.42676125877538573","3184.587709954936","[0.0,0.0]","[0.0,0.0]","68.30995122441809","[48.20072142076236,16.331437161971277,31.869284258791087]","[3184.424065638925,3195.640732305592,3173.2073989722585]","34.88372093023477","""macd says BUY, klinger says BUY, rsi says SELL, cmo says SELL, ""","1765439399908","1"
"TATASTEEL","2025-12-11T13:14:57+05:30","164.2","164.05","1974.0","164.4","164.05","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","164.2","50.0","0.04776880220356361","0.0204370092955196","0.02733179290804401","164.20669507575758","[0.0,0.0]","[0.0,0.0]","44.14814814814799","[213.61147619481517,77.08692170487024,136.52455448994493]","[164.19859457442408,164.81526124109072,163.58192790775743]","0.0","""macd says BUY, klinger says BUY, ""","1765439399908","1"
"ADANIPORTS","2025-12-11T13:14:50+05:30","1508.85","1506.05","170.0","1508.85","1506.05","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","1508.85","88.54166666666697","0.7139340042533604","0.2835961186423538","0.4303378856110066","1506.171642530016","[0.0,0.0]","[0.0,0.0]","63.71908056947447","[79.23587468502717,26.06475949715894,53.17111518786823]","[1505.9552643409163,1512.28859767425,1499.621931007583]","77.08333333333393","""macd says BUY, klinger says BUY, cmo says SELL, ""","1765439399908","1"
"AXISBANK","2025-12-11T13:14:41+05:30","1272.6","1271.9","475.0","1273.2","1271.65","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","1272.6","29.629629629627445","0.20251499392657024","0.07416460328517548","0.12835039064139475","1273.1620426317554","[0.0,0.0]","[0.0,0.0]","43.7281910009166","[52.81294516087064,14.131814457145891,38.68113070372475]","[1273.2561495173602,1278.472816184027,1268.0394828506935]","-40.74074074074511","""macd says BUY, rsi says BUY, klinger says BUY, cmo says BUY, ""","1765439399908","1"
"ASIANPAINT","2025-12-11T13:13:24+05:30","2788.45","2785.1","179.0","2791.25","2785.1","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","2788.45","71.79487179486895","0.8018342589284657","0.2673135241420227","0.534520734786443","2787.3610023310025","[0.0,0.0]","[0.0,0.0]","27.64044943820116","[8.157066690962097,2.8433023219491877,5.313764369012909]","[2786.1011849486586,2794.521184948658,2777.6811849486585]","43.58974358973791","""macd says BUY, klinger says BUY, rsi says SELL, cmo says SELL, ""","1765439399908","1"
"RELIANCE","2025-12-11T13:13:55+05:30","1546.3","1546.6","545.0","1547.35","1545.4","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","1546.3","72.2222222222227","0.37516938951739576","0.15869554199455482","0.2164738475228409","1546.0532525212047","[0.0,0.0]","[0.0,0.0]","23.60248447204988","[106.47973195283214,36.35421563448265,70.1255163183495]","[1545.6281730789717,1550.1115064123046,1541.1448397456384]","44.44444444444538","""macd says BUY, crsi says BUY, klinger says BUY, rsi says SELL, cmo says SELL, ""","1765439399908","1"
"TECHM","2025-12-11T13:13:27+05:30","1559.45","1557.2","52.0","1559.45","1557.2","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","1559.45","100.0","0.3950275822630829","0.14083119643894534","0.2541963858241375","1558.1471354166667","[0.0,0.0]","[0.0,0.0]","42.42424242424242","[2.920755830903791,0.6817781132861307,2.23897771761766]","[1557.7367994816975,1561.4567994816978,1554.0167994816975]","100.0","""macd says BUY, klinger says BUY, cmo says SELL, ""","1765439399908","1"
"HDFCBANK","2025-12-11T13:14:01+05:30","998.0","997.2","4804.0","998.2","997.05","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","998.0","62.96296296296359","0.07664183810356917","0.02471133440255144","0.05193050370101773","997.7528133272632","[0.0,0.0]","[0.0,0.0]","70.8387243218706","[200.3730400770512,49.131155484321894,151.24188459272932]","[997.6317294185428,1000.731729418543,994.5317294185428]","25.925925925927174","""macd says BUY, klinger says BUY, rsi says SELL, ""","1765439399908","1"
"MARUTI","2025-12-11T13:14:26+05:30","82.4","82.4","0.0","82.4","82.4","0.0","0.0","HOLD","0.0","0.0","0.0","0.0","82.4","0.0","0.002393162393161674","0.0004786324786323348","0.0019145299145293393","82.41486161251504","[0.0,0.0]","[0.0,0.0]","23.333333333333332","[16.76343750780923,6.02607263082346,10.737364876985769]","[82.41818832834937,82.45818832834938,82.37818832834937]","-100.0","""""","1765439399908","1"
